name,slug,value,date_of_information,ranking,region
"Georgia","georgia","278,000","2023",109,"Central Asia"
"Cyprus","cyprus","270,000","2023",110,"Europe"
"Luxembourg","luxembourg","260,000","2022",111,"Europe"
"Malta","malta","259,000","2023",112,"Europe"
"Bahrain","bahrain","246,000","2023",113,"Middle East"
"Cote d'Ivoire","cote-divoire","244,000","2023",114,"Africa"
"Estonia","estonia","238,000","2023",115,"Europe"
"Nicaragua","nicaragua","234,000","2023",116,"Central America and the Caribbean"
"Lithuania","lithuania","224,000","2023",117,"Europe"
"Paraguay","paraguay","206,000","2023",118,"South America"
"Montenegro","montenegro","190,000","2023",119,"Europe"
"Kyrgyzstan","kyrgyzstan","185,000","2023",120,"Central Asia"
"Afghanistan","afghanistan","182,000","2023",121,"South Asia"
"Albania","albania","173,000","2023",122,"Europe"
"Papua New Guinea","papua-new-guinea","166,000","2021",123,"East and Southeast Asia"
"Finland","finland","158,000","2023",124,"Europe"
"Sudan","sudan","156,000","2022",125,"Africa"
"Norway","norway","145,000","2022",126,"Europe"
"Latvia","latvia","142,000","2023",127,"Europe"
"French Polynesia","french-polynesia","139,000","2022",128,"Australia and Oceania"
"Suriname","suriname","129,000","2023",129,"South America"
"Guyana","guyana","125,000","2021",130,"South America"
"Brunei","brunei","122,000","2023",131,"East and Southeast Asia"
"Barbados","barbados","121,000","2022",132,"Central America and the Caribbean"
"Uganda","uganda","116,000","2023",133,"Africa"
"Nigeria","nigeria","112,000","2023",134,"Africa"
"Bahamas, The","bahamas-the","97,000","2023",135,"Central America and the Caribbean"
"Somalia","somalia","91,000","2022",136,"Africa"
"Botswana","botswana","90,000","2023",137,"Africa"
"Angola","angola","87,000","2023",138,"Africa"
"Macau","macau","87,000","2023",139,"East and Southeast Asia"
"Iceland","iceland","82,000","2023",140,"Europe"
"Burkina Faso","burkina-faso","81,000","2021",141,"Africa"
"Zambia","zambia","81,000","2023",142,"Africa"
"Namibia","namibia","81,000","2023",143,"Africa"
"Tanzania","tanzania","76,000","2023",144,"Africa"
"Virgin Islands","virgin-islands","76,000","2021",145,"Central America and the Caribbean"
"Guam","guam","70,000","2021",146,"Australia and Oceania"
"Kenya","kenya","68,000","2023",147,"Africa"
"Togo","togo","67,000","2023",148,"Africa"
"Eritrea","eritrea","66,000","2021",149,"Africa"
"Gambia, The","gambia-the","60,000","2021",150,"Africa"
"Cabo Verde","cabo-verde","60,000","2023",151,"Africa"
"Niger","niger","58,000","2021",152,"Africa"
"Andorra","andorra","52,000","2023",153,"Europe"
"Curacao","curacao","51,000","2022",154,"Central America and the Caribbean"
"Fiji","fiji","49,000","2021",155,"Australia and Oceania"
"Jersey","jersey","48,122","2021",156,"Europe"
"Mauritania","mauritania","48,000","2022",157,"Africa"
"New Caledonia","new-caledonia","46,000","2021",158,"Australia and Oceania"
"Monaco","monaco","43,000","2023",159,"Europe"
"Gabon","gabon","43,000","2022",160,"Africa"
"Eswatini","eswatini","42,000","2023",161,"Africa"
"Cambodia","cambodia","38,000","2022",162,"East and Southeast Asia"
"Cayman Islands","cayman-islands","36,000","2021",163,"Central America and the Caribbean"
"Aruba","aruba","35,000","2021",164,"Central America and the Caribbean"
"Guernsey","guernsey","33,930","2021",165,"Europe"
"Saint Lucia","saint-lucia","31,000","2022",166,"Central America and the Caribbean"
"Djibouti","djibouti","29,000","2023",167,"Africa"
"Mozambique","mozambique","29,000","2022",168,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","27,000","2021",169,"Central America and the Caribbean"
"Bermuda","bermuda","25,000","2021",170,"North America"
"British Virgin Islands","british-virgin-islands","23,000","2021",171,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","20,000","2021",172,"Australia and Oceania"
"Belize","belize","19,000","2021",173,"Central America and the Caribbean"
"Bhutan","bhutan","18,000","2023",174,"South Asia"
"Seychelles","seychelles","18,000","2023",175,"Africa"
"Grenada","grenada","17,000","2022",176,"Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","17,000","2020",177,"Africa"
"Gibraltar","gibraltar","17,000","2022",178,"Europe"
"San Marino","san-marino","16,000","2022",179,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","16,000","2022",180,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","15,000","2021",181,"Europe"
"Burundi","burundi","14,000","2023",182,"Africa"
"Maldives","maldives","13,000","2023",183,"South Asia"
"Equatorial Guinea","equatorial-guinea","11,000","2022",184,"Africa"
"Tonga","tonga","11,000","2021",185,"Australia and Oceania"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","10,000","2023",186,"Central America and the Caribbean"
"American Samoa","american-samoa","10,000","2021",187,"Australia and Oceania"
"Liechtenstein","liechtenstein","10,000","2023",188,"Europe"
"Comoros","comoros","9,000","2023",189,"Africa"
"Rwanda","rwanda","8,000","2023",190,"Africa"
"Palau","palau","8,000","2023",191,"Australia and Oceania"
"Cook Islands","cook-islands","7,000","2021",192,"Australia and Oceania"
"Lesotho","lesotho","7,000","2023",193,"Africa"
"Solomon Islands","solomon-islands","7,000","2021",194,"Australia and Oceania"
"Dominica","dominica","7,000","2021",195,"Central America and the Caribbean"
"Micronesia, Federated States of","micronesia-federated-states-of","7,000","2021",196,"Australia and Oceania"
"Greenland","greenland","6,000","2020",197,"North America"
"Anguilla","anguilla","6,000","2021",198,"Central America and the Caribbean"
"Liberia","liberia","6,000","2021",199,"Africa"
"Haiti","haiti","6,000","2021",200,"Central America and the Caribbean"
"Samoa","samoa","5,000","2022",201,"Australia and Oceania"
"Malawi","malawi","5,000","2023",202,"Africa"
"Chad","chad","5,000","2022",203,"Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","4,800","2015",204,"North America"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","4,000","2021",205,"Africa"
"Turks and Caicos Islands","turks-and-caicos-islands","4,000","2021",206,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","3,000","2021",207,"Australia and Oceania"
"Vanuatu","vanuatu","3,000","2022",208,"Australia and Oceania"
"Madagascar","madagascar","3,000","2023",209,"Africa"
"Montserrat","montserrat","3,000","2020",210,"Central America and the Caribbean"
"Timor-Leste","timor-leste","2,000","2023",211,"East and Southeast Asia"
"Marshall Islands","marshall-islands","2,000","2014",212,"Australia and Oceania"
"Central African Republic","central-african-republic","2,000","2021",213,"Africa"
"Tuvalu","tuvalu","2,000","2021",214,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","2,000","2021",215,"South America"
"Sao Tome and Principe","sao-tome-and-principe","2,000","2023",216,"Africa"
"Benin","benin","1,000","2023",217,"Africa"
"Niue","niue","1,000","2021",218,"Australia and Oceania"
"Tokelau","tokelau","300","2010",219,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","0","2022",220,"Africa"
"Guinea","guinea","0","2021",221,"Africa"
"Sierra Leone","sierra-leone","0","2021",222,"Africa"
"Kiribati","kiribati","0","2023",223,"Australia and Oceania"
"Nauru","nauru","0","2019",224,"Australia and Oceania"
"South Sudan","south-sudan","0","2023",225,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0","2021",226,"Africa"
